DeviceId,Period,Cycle,Sensor9,Sensor11,Sensor14,Sensor15
N1172FJ-2,1,1,8770.2,45.4,8120.83,8.6216
N1172FJ-1,1,1,8727.66,43.92,8067.18,9.1431
N2172FJ-2,1,1,9044.71,47.29,8124.05,8.4222
N2172FJ-1,1,1,8777.81,45.57,8130.3,8.7054
N3172FJ-2,1,1,9042.41,47.57,8124.04,8.4363
N3172FJ-1,1,1,8717.68,44.33,8051.73,9.2498
N4172FJ-2,1,1,9056.17,47.26,8126.36,8.422
N4172FJ-1,1,1,8732.45,44.13,8070.62,9.2072
N1172FJ-2,1,2,9045.76,47.29,8132.87,8.3907
N1172FJ-1,1,2,8357.93,41.5,8075.41,9.2625
N2172FJ-2,1,2,8332.57,41.99,8052.26,9.3338
N2172FJ-1,1,2,8315.43,42.06,8083.71,9.3787
N3172FJ-2,1,2,7983.34,36.81,7865.2,10.8935
N3172FJ-1,1,2,8004.18,36.77,7869.79,10.8829
N4172FJ-2,1,2,8011.12,36.67,7864.62,10.8719
N4172FJ-1,1,2,8773.2,45.1,8137.56,8.6119
N1172FJ-2,1,3,8343.91,41.92,8063.84,9.3557
N1172FJ-1,1,3,8361.53,41.84,8073.06,9.2927
N2172FJ-2,1,3,9034.06,47.37,8130.05,8.4402
N2172FJ-1,1,3,8319.32,42.19,8085.45,9.3912
N3172FJ-2,1,3,9037.61,47.49,8121.12,8.462
N3172FJ-1,1,3,8305.05,41.95,8081.15,9.3801
N4172FJ-2,1,3,8311.75,42.06,8081.84,9.3726
N4172FJ-1,1,3,9062.12,47.19,8145.55,8.4011
N1172FJ-2,1,4,8721.53,44.26,8052.3,9.2231
N1172FJ-1,1,4,8783.84,45.12,8135.44,8.616
N2172FJ-2,1,4,8302.91,42,8075.96,9.3624
N2172FJ-1,1,4,8722.91,44.4,8057.59,9.2106
N3172FJ-2,1,4,8761.83,45.41,8123.53,8.6815
N3172FJ-1,1,4,8764.52,45.27,8120.9,8.6732
N4172FJ-2,1,4,8007.08,36.71,7869.67,10.9247
N4172FJ-1,1,4,8328.89,41.74,8095.51,9.3325
N1172FJ-2,1,5,8314.56,41.79,8083.67,9.2986
N1172FJ-1,1,5,8362.01,41.59,8080.76,9.2739
N2172FJ-2,1,5,9048.52,47.39,8128.98,8.4285
N2172FJ-1,1,5,8722.16,44.41,8058.66,9.2291
N3172FJ-2,1,5,9041.98,47.66,8118.3,8.4617
N3172FJ-1,1,5,8005.89,36.81,7869.38,10.8927
N4172FJ-2,1,5,8005.35,36.73,7870.53,10.8335
N4172FJ-1,1,5,8730.31,44.26,8070.55,9.2124
N1172FJ-2,1,6,8711.44,44.4,8053.17,9.2276
N1172FJ-1,1,6,8331.6,41.68,8090.34,9.3226
N2172FJ-2,1,6,8713.82,44.45,8054.51,9.2145
N2172FJ-1,1,6,8311.83,42.26,8082.06,9.4198
N3172FJ-2,1,6,8309.79,42.13,8062.3,9.3474
N3172FJ-1,1,6,8341.12,41.92,8058.52,9.3101
N4172FJ-2,1,6,9054.29,47.41,8129,8.4333
N4172FJ-1,1,6,8729.46,44.25,8072.37,9.1789
N1172FJ-2,1,7,8316.88,42.09,8082.01,9.3753
N1172FJ-1,1,7,8010.84,36.33,7882.05,10.8228
N2172FJ-2,1,7,8768.31,45.45,8114.88,8.6357
N2172FJ-1,1,7,8347.09,42.11,8067.14,9.3093
N3172FJ-2,1,7,8768.58,45.68,8115.5,8.6232
N3172FJ-1,1,7,8305.78,41.98,8069.96,9.3605
N4172FJ-2,1,7,8344.95,41.88,8058.39,9.3171
N4172FJ-1,1,7,8789.9,45.22,8131.41,8.6403
N1172FJ-2,1,8,9050.35,47.5,8133.29,8.4339
N1172FJ-1,1,8,8014.95,36.43,7875.72,10.8422
N2172FJ-2,1,8,9040.86,47.48,8127.7,8.4162
N2172FJ-1,1,8,9051.7,47.43,8133.11,8.4079
N3172FJ-2,1,8,8341.35,42.2,8053.87,9.3395
N3172FJ-1,1,8,8002.3,36.57,7872.85,10.9011
N4172FJ-2,1,8,8771.71,45.43,8118.44,8.6702
N4172FJ-1,1,8,8333.25,41.96,8090.8,9.3516
N1172FJ-2,1,9,9051.35,47.3,8132.72,8.3922
N1172FJ-1,1,9,8351.59,41.71,8068.96,9.2737
N2172FJ-2,1,9,8770.77,45.55,8119.7,8.6378
N2172FJ-1,1,9,8778.12,45.64,8128.27,8.6112
N3172FJ-2,1,9,8003.17,36.7,7860.41,10.9348
N3172FJ-1,1,9,8721.51,44.4,8055.46,9.2167
N4172FJ-2,1,9,8316.02,42.09,8078.43,9.3816
N4172FJ-1,1,9,9064.46,47.34,8149.07,8.4008
N1172FJ-2,1,10,8320.04,41.91,8085.94,9.3667
N1172FJ-1,1,10,8015.45,36.56,7883.99,10.8231
N2172FJ-2,1,10,8003.87,36.77,7866.18,10.9002
N2172FJ-1,1,10,8005.06,36.59,7875.26,10.8905
N3172FJ-2,1,10,7998.17,36.75,7860.79,10.9253
N3172FJ-1,1,10,8345.2,41.83,8058.73,9.3469
N4172FJ-2,1,10,8317.78,42.17,8080.38,9.361
N4172FJ-1,1,10,8326.81,41.93,8092.51,9.3269
N1172FJ-2,1,11,8009.91,36.66,7866.43,10.8941
N1172FJ-1,1,11,8727.46,43.99,8071.26,9.1899
N2172FJ-2,1,11,8761.12,45.33,8120.14,8.6287
N2172FJ-1,1,11,8782.44,45.66,8128.22,8.6476
N3172FJ-2,1,11,8716.7,44.53,8047,9.2388
N3172FJ-1,1,11,9052.44,47.55,8132.49,8.437
N4172FJ-2,1,11,8002.02,36.83,7866.68,10.9034
N4172FJ-1,1,11,8350.2,41.65,8072.85,9.319
N1172FJ-2,1,12,8341.87,41.87,8063.79,9.2878
N1172FJ-1,1,12,8726.96,44.15,8065.95,9.1718
N2172FJ-2,1,12,8310.22,42.02,8073.66,9.3645
N2172FJ-1,1,12,7999.04,36.89,7873.01,10.9407
N3172FJ-2,1,12,9035.9,47.63,8119.93,8.4733
N3172FJ-1,1,12,8722.89,44.4,8055.46,9.2477
N4172FJ-2,1,12,8713.26,44.3,8053.68,9.1964
N4172FJ-1,1,12,8779.3,45.17,8145.37,8.6413
N1172FJ-2,1,13,8321.2,42.14,8081.77,9.349
N1172FJ-1,1,13,8792.08,45.21,8138.4,8.6127
N2172FJ-1,1,13,7991.49,37.5,7859.24,10.9748
